id,Quarter Cohort,Nationality,Gender,Age Group,Status,Days to Decision,Count
2931,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,1,1
2932,2018 Q3,Uganda,Female,18 to 25,Claim Rejected,21,1
2933,2018 Q3,Ghana,Female,26 to 30,Claim Accepted,19,1
2934,2018 Q3,Ghana,Female,26 to 30,Claim Rejected,15,1
2935,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,21,1
2936,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,17,1
2937,2018 Q3,Syria,Female,18 to 25,Claim Accepted,0,1
2938,2018 Q3,Syria,Female,18 to 25,Claim Rejected,0,1
2939,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,15,1
2940,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,14,1
2941,2018 Q3,Iraq,Female,18 to 25,Claim Accepted,14,1
2942,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,14,1
2943,2018 Q3,Algeria,Male,31 to 40,Claim Accepted,4,1
2944,2018 Q3,Pakistan,Female,31 to 40,Claim Accepted,7,1
2945,2018 Q3,Sierra Leone,Male,31 to 40,Claim Rejected,3,1
2946,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,102,1
2947,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,12,1
2948,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,1,1
2949,2018 Q3,Ghana,Male,41 to 50,Claim Rejected,5,1
2950,2018 Q3,Bangladesh,Male,31 to 40,Claim Accepted,1,1
2951,2018 Q3,Albania,Male,Under 18,Claim Rejected,18,1
2952,2018 Q3,Somalia,Male,31 to 40,Claim Rejected,14,1
2953,2018 Q3,Morocco,Female,41 to 50,Claim Rejected,15,1
2954,2018 Q3,Jamaica,Female,41 to 50,Claim Rejected,19,1
2955,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,4,1
2956,2018 Q3,Nigeria,Female,Under 18,Claim Accepted,10,1
2957,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,1,1
2958,2018 Q3,Jamaica,Female,31 to 40,Claim Accepted,22,1
2959,2018 Q3,Bangladesh,Female,41 to 50,Claim Accepted,6,1
2960,2018 Q3,Nigeria,Female,Under 18,Claim Accepted,4,1
2961,2018 Q3,Jamaica,Female,41 to 50,Claim Rejected,1,1
2962,2018 Q3,Ghana,Female,41 to 50,Claim Rejected,24,1
2963,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,5,1
2964,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,20,1
2965,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,16,1
2966,2018 Q3,Pakistan,Male,41 to 50,Claim Accepted,16,1
2967,2018 Q3,Nigeria,Male,18 to 25,Claim Rejected,19,1
2968,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,35,1
2969,2018 Q3,Turkey,Female,Under 18,Claim Accepted,1,1
2970,2018 Q3,China,Male,Under 18,Claim Accepted,26,1
2971,2018 Q3,Zimbabwe,Female,51 to 60,Claim Accepted,5,1
2972,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,6,1
2973,2018 Q3,Jamaica,Female,41 to 50,Claim Accepted,98,1
2974,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,24,1
2975,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,4,1
2976,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,0,1
2977,2018 Q3,Bangladesh,Female,41 to 50,Claim Accepted,44,1
2978,2018 Q3,Colombia,Female,Under 18,Claim Accepted,27,1
2979,2018 Q3,Bangladesh,Female,31 to 40,Claim Rejected,19,1
2980,2018 Q3,Nigeria,Male,41 to 50,Claim Rejected,15,1
2981,2018 Q3,Nigeria,Male,41 to 50,Claim Rejected,10,1
2982,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,19,1
2983,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,16,1
2984,2018 Q3,Ghana,Female,41 to 50,Claim Rejected,14,1
2985,2018 Q3,Malawi,Female,31 to 40,Claim Rejected,1,1
2986,2018 Q3,Sierra Leone,Female,51 to 60,Claim Accepted,19,1
2987,2018 Q3,Ghana,Male,18 to 25,Claim Rejected,12,1
2988,2018 Q3,Bangladesh,Female,Under 18,Claim Rejected,4,1
2989,2018 Q3,Turkey,Female,Under 18,Claim Accepted,1,1
2990,2018 Q3,Ghana,Female,71 to 80,Claim Accepted,19,1
2991,2018 Q3,The Gambia,Female,31 to 40,Claim Accepted,24,1
2992,2018 Q3,Ghana,Male,Under 18,Claim Accepted,4,1
2993,2018 Q3,Nigeria,Female,Under 18,Claim Rejected,15,1
2994,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,5,1
2995,2018 Q3,India,Female,Under 18,Claim Accepted,172,1
2996,2018 Q3,Jamaica,Male,Under 18,Claim Accepted,22,1
2997,2018 Q3,Ghana,Male,31 to 40,Claim Accepted,2,1
2998,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,6,1
2999,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,102,1
3000,2018 Q3,India,Female,31 to 40,Claim Accepted,172,1
3001,2018 Q3,Pakistan,Female,31 to 40,Claim Rejected,10,1
3002,2018 Q3,Nigeria,Male,18 to 25,Claim Accepted,18,1
3003,2018 Q3,Nigeria,Male,41 to 50,Claim Rejected,19,1
3004,2018 Q3,Iraq,Male,31 to 40,Claim Accepted,10,1
3005,2018 Q3,Eritrea,Male,31 to 40,Claim Rejected,743,1
3006,2018 Q3,Ghana,Male,41 to 50,Claim Accepted,3,1
3007,2018 Q3,Pakistan,Male,31 to 40,Claim Accepted,7,1
3008,2018 Q3,Ghana,Female,51 to 60,Claim Accepted,15,1
3009,2018 Q3,Zimbabwe,Female,26 to 30,Claim Rejected,49,1
3010,2018 Q3,Jamaica,Female,Under 18,Claim Accepted,28,1
3011,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,16,1
3012,2018 Q3,Jamaica,Male,Under 18,Claim Rejected,1,1
3013,2018 Q3,Zimbabwe,Female,41 to 50,Claim Rejected,3,1
3014,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,33,1
3015,2018 Q3,Ghana,Male,41 to 50,Claim Accepted,14,1
3016,2018 Q3,Jamaica,Female,41 to 50,Claim Accepted,19,1
3017,2018 Q3,Jamaica,Female,41 to 50,Claim Accepted,1,1
3018,2018 Q3,Jamaica,Female,41 to 50,Claim Accepted,1,1
3019,2018 Q3,United States,Female,31 to 40,Claim Accepted,18,1
3020,2018 Q3,Antigua & Barbuda,Female,51 to 60,Claim Rejected,33,1
3021,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,16,1
3022,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,58,1
3023,2018 Q3,Nigeria,Female,Under 18,Claim Rejected,19,1
3024,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,19,1
3025,2018 Q3,Nigeria,Male,41 to 50,Claim Accepted,13,1
3026,2018 Q3,Sri Lanka,Male,Under 18,Claim Accepted,69,1
3027,2018 Q3,Jamaica,Male,Under 18,Claim Accepted,6,1
3028,2018 Q3,Nigeria,Female,Under 18,Claim Rejected,15,1
3029,2018 Q3,Ghana,Female,41 to 50,Claim Accepted,15,1
3030,2018 Q3,Bangladesh,Male,31 to 40,Claim Accepted,19,1
3031,2018 Q3,Sri Lanka,Male,Under 18,Claim Accepted,69,1
3032,2018 Q3,Pakistan,Female,41 to 50,Claim Accepted,27,1
3033,2018 Q3,Uganda,Female,41 to 50,Claim Rejected,15,1
3034,2018 Q3,Bangladesh,Female,18 to 25,Claim Accepted,3,1
3035,2018 Q3,Nigeria,Female,26 to 30,Claim Accepted,33,1
3036,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,18,1
3037,2018 Q3,Bangladesh,Female,26 to 30,Claim Rejected,11,1
3038,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,0,1
3039,2018 Q3,Bangladesh,Female,41 to 50,Claim Rejected,4,1
3040,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,13,1
3041,2018 Q3,Senegal,Female,31 to 40,Claim Accepted,16,1
3042,2018 Q3,Nigeria,Female,26 to 30,Claim Rejected,124,1
3043,2018 Q3,Ghana,Female,Under 18,Claim Rejected,5,1
3044,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,5,1
3045,2018 Q3,Pakistan,Female,31 to 40,Claim Accepted,29,1
3046,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,67,1
3047,2018 Q3,Ghana,Female,26 to 30,Claim Accepted,6,1
3048,2018 Q3,Malawi,Female,31 to 40,Claim Accepted,12,1
3049,2018 Q3,Albania,Male,Under 18,Claim Rejected,4,1
3050,2018 Q3,Iraq,Male,61 to 70,Claim Rejected,21,1
3051,2018 Q3,Sri Lanka,Female,31 to 40,Claim Rejected,14,1
3052,2018 Q3,Ghana,Female,41 to 50,Claim Accepted,16,1
3053,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,3,1
3054,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,20,1
3055,2018 Q3,Iraq,Female,31 to 40,Claim Accepted,19,1
3056,2018 Q3,Pakistan,Male,41 to 50,Claim Rejected,19,1
3057,2018 Q3,Bangladesh,Male,51 to 60,Claim Rejected,19,1
3058,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,28,1
3059,2018 Q3,Iran,Female,31 to 40,Claim Rejected,13,1
3060,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,19,1
3061,2018 Q3,China,Male,Under 18,Claim Accepted,10,1
3062,2018 Q3,Bangladesh,Female,Under 18,Claim Rejected,8,1
3063,2018 Q3,Senegal,Male,26 to 30,Claim Rejected,27,1
3064,2018 Q3,Ghana,Female,41 to 50,Claim Accepted,2,1
3065,2018 Q3,Pakistan,Female,26 to 30,Claim Rejected,2,1
3066,2018 Q3,Pakistan,Female,26 to 30,Claim Accepted,47,1
3067,2018 Q3,Pakistan,Female,31 to 40,Claim Rejected,19,1
3068,2018 Q3,Cameroon,Female,26 to 30,Claim Rejected,19,1
3069,2018 Q3,Bangladesh,Male,41 to 50,Claim Accepted,44,1
3070,2018 Q3,Nigeria,Female,Under 18,Claim Accepted,3,1
3071,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,18,1
3072,2018 Q3,Nigeria,Female,Under 18,Claim Accepted,46,1
3073,2018 Q3,Russia,Female,41 to 50,Claim Rejected,9,1
3074,2018 Q3,Iran,Female,Under 18,Claim Rejected,13,1
3075,2018 Q3,Ghana,Male,Under 18,Claim Accepted,4,1
3076,2018 Q3,Jamaica,Female,18 to 25,Claim Accepted,22,1
3077,2018 Q3,Nigeria,Male,31 to 40,Claim Rejected,13,1
3078,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,15,1
3079,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,17,1
3080,2018 Q3,Nigeria,Female,Under 18,Claim Rejected,13,1
3081,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,22,1
3082,2018 Q3,South Africa,Female,31 to 40,Claim Accepted,5,1
3083,2018 Q3,China,Male,41 to 50,Claim Rejected,26,1
3084,2018 Q3,Malaysia,Female,41 to 50,Claim Accepted,27,1
3085,2018 Q3,Jamaica,Female,Under 18,Claim Accepted,22,1
3086,2018 Q3,Sri Lanka,Female,41 to 50,Claim Rejected,13,1
3087,2018 Q3,Nigeria,Male,31 to 40,Claim Accepted,16,1
3088,2018 Q3,Jamaica,Male,Under 18,Claim Accepted,13,1
3089,2018 Q3,Bangladesh,Female,18 to 25,Claim Rejected,20,1
3090,2018 Q3,Bangladesh,Male,31 to 40,Claim Rejected,8,1
3091,2018 Q3,Syria,Female,18 to 25,Claim Accepted,0,1
3092,2018 Q3,Syria,Female,18 to 25,Claim Rejected,0,1
3093,2018 Q3,Nigeria,Male,41 to 50,Claim Accepted,15,1
3094,2018 Q3,Russia,Male,Under 18,Claim Rejected,9,1
3095,2018 Q3,Officially Stateless,Female,41 to 50,Claim Rejected,14,1
3096,2018 Q3,Jamaica,Female,41 to 50,Claim Accepted,5,1
3097,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,19,1
3098,2018 Q3,Ghana,Female,41 to 50,Claim Accepted,4,1
3099,2018 Q3,Bangladesh,Male,41 to 50,Claim Rejected,19,1
3100,2018 Q3,Jamaica,Female,Under 18,Claim Accepted,1,1
3101,2018 Q3,Ghana,Female,41 to 50,Claim Accepted,19,1
3102,2018 Q3,Thailand,Female,Under 18,Claim Accepted,21,1
3103,2018 Q3,Philippines,Male,Under 18,Claim Rejected,39,1
3104,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,19,1
3105,2018 Q3,Sierra Leone,Female,41 to 50,Claim Accepted,14,1
3106,2018 Q3,Bolivia,Female,Under 18,Claim Accepted,47,1
3107,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,18,1
3108,2018 Q3,Albania,Female,Under 18,Claim Rejected,18,1
3109,2018 Q3,Ghana,Female,Under 18,Claim Accepted,19,1
3110,2018 Q3,Algeria,Female,41 to 50,Claim Rejected,5,1
3111,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,7,1
3112,2018 Q3,Bolivia,Male,31 to 40,Claim Accepted,47,1
3113,2018 Q3,Sierra Leone,Female,31 to 40,Claim Rejected,8,1
3114,2018 Q3,Morocco,Female,26 to 30,Claim Accepted,5,1
3115,2018 Q3,Jamaica,Male,Under 18,Claim Rejected,57,1
3116,2018 Q3,Ghana,Female,41 to 50,Claim Rejected,12,1
3117,2018 Q3,Nigeria,Male,41 to 50,Claim Rejected,26,1
3118,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,5,1
3119,2018 Q3,Jamaica,Male,Under 18,Claim Accepted,25,1
3120,2018 Q3,Bangladesh,Female,18 to 25,Claim Rejected,14,1
3121,2018 Q3,Bangladesh,Female,Under 18,Claim Rejected,6,1
3122,2018 Q3,Bangladesh,Female,Under 18,Claim Rejected,25,1
3123,2018 Q3,Bangladesh,Male,41 to 50,Claim Rejected,20,1
3124,2018 Q3,Afghanistan,Male,Under 18,Claim Rejected,16,1
3125,2018 Q3,Afghanistan,Male,31 to 40,Claim Rejected,16,1
3126,2018 Q3,Philippines,Female,31 to 40,Claim Rejected,39,1
3127,2018 Q3,Nigeria,Female,26 to 30,Claim Rejected,25,1
3128,2018 Q3,Pakistan,Male,Under 18,Claim Rejected,45,1
3129,2018 Q3,Nigeria,Female,Under 18,Claim Rejected,7,1
3130,2018 Q3,Nigeria,Male,31 to 40,Claim Accepted,3,1
3131,2018 Q3,Jamaica,Male,31 to 40,Claim Accepted,6,1
3132,2018 Q3,Sudan,Female,51 to 60,Claim Accepted,118,1
3133,2018 Q3,Bangladesh,Female,Under 18,Claim Rejected,25,1
3134,2018 Q3,China,Male,31 to 40,Claim Accepted,26,1
3135,2018 Q3,China,Female,31 to 40,Claim Rejected,11,1
3136,2018 Q3,Ghana,Male,51 to 60,Claim Accepted,15,1
3137,2018 Q3,Cameroon,Female,31 to 40,Claim Accepted,12,1
3138,2018 Q3,China,Male,31 to 40,Claim Rejected,8,1
3139,2018 Q3,Nigeria,Female,26 to 30,Claim Rejected,15,1
3140,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,19,1
3141,2018 Q3,Ghana,Female,26 to 30,Claim Accepted,6,1
3142,2018 Q3,Jamaica,Female,18 to 25,Claim Accepted,77,1
3143,2018 Q3,Jamaica,Female,31 to 40,Claim Accepted,1,1
3144,2018 Q3,Jamaica,Female,31 to 40,Claim Accepted,19,1
3145,2018 Q3,Jamaica,Female,51 to 60,Claim Accepted,7,1
3146,2018 Q3,Ghana,Female,31 to 40,Claim Rejected,20,1
3147,2018 Q3,Uganda,Female,26 to 30,Claim Accepted,6,1
3148,2018 Q3,Kenya,Female,26 to 30,Claim Rejected,0,1
3149,2018 Q3,Ghana,Female,31 to 40,Claim Rejected,15,1
3150,2018 Q3,Nigeria,Female,26 to 30,Claim Rejected,31,1
3151,2018 Q3,Bangladesh,Female,31 to 40,Claim Rejected,6,1
3152,2018 Q3,Bangladesh,Female,31 to 40,Claim Rejected,25,1
3153,2018 Q3,China,Female,Under 18,Claim Rejected,26,1
3154,2018 Q3,Nigeria,Male,51 to 60,Claim Accepted,20,1
3155,2018 Q3,Ghana,Male,41 to 50,Claim Accepted,6,1
3156,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,46,1
3157,2018 Q3,Algeria,Male,Under 18,Claim Accepted,4,1
3158,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,13,1
3159,2018 Q3,Jamaica,Female,18 to 25,Claim Accepted,14,1
3160,2018 Q3,Nigeria,Female,Under 18,Claim Accepted,5,1
3161,2018 Q3,Ecuador,Female,31 to 40,Claim Accepted,0,1
3162,2018 Q3,Jamaica,Male,31 to 40,Claim Rejected,53,1
3163,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,21,1
3164,2018 Q3,Colombia,Female,31 to 40,Claim Accepted,27,1
3165,2018 Q3,Pakistan,Male,61 to 70,Claim Rejected,7,1
3166,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,6,1
3167,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,29,1
3168,2018 Q3,Jamaica,Female,31 to 40,Claim Rejected,22,1
3169,2018 Q3,Ghana,Female,41 to 50,Claim Rejected,1,1
3170,2018 Q3,Ghana,Female,41 to 50,Claim Accepted,1,1
3171,2018 Q3,Nigeria,Female,26 to 30,Claim Accepted,2,1
3172,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,3,1
3173,2018 Q3,Nigeria,Female,26 to 30,Claim Rejected,18,1
3174,2018 Q3,Nigeria,Male,41 to 50,Claim Rejected,21,1
3175,2018 Q3,Jamaica,Female,26 to 30,Claim Rejected,6,1
3176,2018 Q3,Nigeria,Female,18 to 25,Claim Accepted,6,1
3177,2018 Q3,Nigeria,Female,18 to 25,Claim Rejected,13,1
3178,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,17,1
3179,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,28,1
3180,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,10,1
3181,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,4,1
3182,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,83,1
3183,2018 Q3,Syria,Female,18 to 25,Claim Rejected,0,1
3184,2018 Q3,Syria,Female,18 to 25,Claim Accepted,0,1
3185,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,7,1
3186,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,23,1
3187,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,60,1
3188,2018 Q3,Bangladesh,Female,Under 18,Claim Accepted,6,1
3189,2018 Q3,India,Female,31 to 40,Claim Accepted,21,1
3190,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,23,1
3191,2018 Q3,Tanzania,Male,Under 18,Claim Accepted,7,1
3192,2018 Q3,Trinidad & Tobago,Female,31 to 40,Claim Rejected,22,1
3193,2018 Q3,Pakistan,Female,71 to 80,Claim Accepted,61,1
3194,2018 Q3,Brazil,Female,41 to 50,Claim Rejected,24,1
3195,2018 Q3,Brazil,Female,41 to 50,Claim Accepted,16,1
3196,2018 Q3,The Gambia,Female,41 to 50,Claim Rejected,15,1
3197,2018 Q3,Ghana,Male,Under 18,Claim Accepted,4,1
3198,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,1,1
3199,2018 Q3,Jamaica,Female,18 to 25,Claim Accepted,6,1
3200,2018 Q3,Jamaica,Female,26 to 30,Claim Rejected,18,1
3201,2018 Q3,Somalia,Female,51 to 60,Claim Accepted,35,1
3202,2018 Q3,India,Male,31 to 40,Claim Rejected,8,1
3203,2018 Q3,India,Male,31 to 40,Claim Rejected,15,1
3204,2018 Q3,Nigeria,Male,31 to 40,Claim Accepted,60,1
3205,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,4,1
3206,2018 Q3,Ghana,Female,31 to 40,Claim Rejected,4,1
3207,2018 Q3,Mali,Female,31 to 40,Claim Rejected,14,1
3208,2018 Q3,Ghana,Female,31 to 40,Claim Rejected,16,1
3209,2018 Q3,Pakistan,Male,Under 18,Claim Accepted,27,1
3210,2018 Q3,Bolivia,Female,Under 18,Claim Accepted,47,1
3211,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,1,1
3212,2018 Q3,Nigeria,Female,Under 18,Claim Rejected,7,1
3213,2018 Q3,Jamaica,Female,26 to 30,Claim Rejected,15,1
3214,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,16,1
3215,2018 Q3,Zambia,Female,18 to 25,Claim Accepted,11,1
3216,2018 Q3,Turkey,Female,41 to 50,Claim Rejected,1,1
3217,2018 Q3,Pakistan,Female,Under 18,Claim Rejected,45,1
3218,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,14,1
3219,2018 Q3,Bangladesh,Female,41 to 50,Claim Rejected,17,1
3220,2018 Q3,Pakistan,Female,26 to 30,Claim Accepted,1,1
3221,2018 Q3,Pakistan,Female,41 to 50,Claim Accepted,16,1
3222,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,20,1
3223,2018 Q3,India,Female,Under 18,Claim Rejected,9,1
3224,2018 Q3,Pakistan,Female,31 to 40,Claim Rejected,21,1
3225,2018 Q3,Pakistan,Female,31 to 40,Claim Rejected,1,1
3226,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,19,1
3227,2018 Q3,Ghana,Female,Under 18,Claim Rejected,14,1
3228,2018 Q3,Nigeria,Male,51 to 60,Claim Rejected,9,1
3229,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,9,1
3230,2018 Q3,Nigeria,Male,41 to 50,Claim Accepted,14,1
3231,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,21,1
3232,2018 Q3,Nigeria,Female,Under 18,Claim Accepted,17,1
3233,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,4,1
3234,2018 Q3,Thailand,Female,41 to 50,Claim Accepted,21,1
3235,2018 Q3,Pakistan,Female,18 to 25,Claim Accepted,5,1
3236,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,19,1
3237,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,1,1
3238,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,6,1
3239,2018 Q3,Afghanistan,Male,18 to 25,Claim Rejected,26,1
3240,2018 Q3,Pakistan,Female,18 to 25,Claim Accepted,14,1
3241,2018 Q3,Kenya,Female,31 to 40,Claim Rejected,13,1
3242,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,14,1
3243,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,1,1
3244,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,13,1
3245,2018 Q3,Jamaica,Female,26 to 30,Claim Rejected,17,1
3246,2018 Q3,Jamaica,Male,61 to 70,Claim Rejected,1,1
3247,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,18,1
3248,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,45,1
3249,2018 Q3,Jamaica,Male,Under 18,Claim Rejected,17,1
3250,2018 Q3,Jamaica,Female,31 to 40,Claim Accepted,17,1
3251,2018 Q3,Rwanda,Female,31 to 40,Claim Rejected,12,1
3252,2018 Q3,Pakistan,Female,61 to 70,Claim Rejected,7,1
3253,2018 Q3,Malawi,Female,26 to 30,Claim Rejected,16,1
3254,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,14,1
3255,2018 Q3,Ghana,Female,31 to 40,Claim Rejected,27,1
3256,2018 Q3,Jamaica,Female,41 to 50,Claim Rejected,17,1
3257,2018 Q3,Malaysia,Male,41 to 50,Claim Accepted,27,1
3258,2018 Q3,Algeria,Female,31 to 40,Claim Accepted,4,1
3259,2018 Q3,Ghana,Female,41 to 50,Claim Rejected,19,1
3260,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,14,1
3261,2018 Q3,Bangladesh,Female,Under 18,Claim Rejected,4,1
3262,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,5,1
3263,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,8,1
3264,2018 Q3,Nigeria,Female,18 to 25,Claim Accepted,29,1
3265,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,9,1
3266,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,1,1
3267,2018 Q3,Ghana,Female,31 to 40,Claim Accepted,4,1
3268,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,25,1
3269,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,6,1
3270,2018 Q3,Ghana,Female,31 to 40,Claim Rejected,11,1
3271,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,18,1
3272,2018 Q3,Nigeria,Female,18 to 25,Claim Accepted,6,1
3273,2018 Q3,Jamaica,Female,18 to 25,Claim Accepted,21,1
3274,2018 Q3,Pakistan,Male,31 to 40,Claim Rejected,1,1
3275,2018 Q3,Sri Lanka,Male,Under 18,Claim Rejected,14,1
3276,2018 Q3,Pakistan,Female,51 to 60,Claim Accepted,21,1
3277,2018 Q3,Nigeria,Female,Under 18,Claim Rejected,13,1
3278,2018 Q3,India,Male,31 to 40,Claim Rejected,14,1
3279,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,17,1
3280,2018 Q3,Ivory Coast,Male,31 to 40,Claim Rejected,20,1
3281,2018 Q3,Nigeria,Male,Under 18,Claim Rejected,7,1
3282,2018 Q3,Jamaica,Male,Under 18,Claim Accepted,6,1
3283,2018 Q3,Thailand,Female,26 to 30,Claim Accepted,1,1
3284,2018 Q3,Guyana,Female,41 to 50,Claim Rejected,17,1
3285,2018 Q3,Nigeria,Female,41 to 50,Claim Rejected,116,1
3286,2018 Q3,Nigeria,Female,41 to 50,Claim Accepted,23,1
3287,2018 Q3,Sri Lanka,Female,31 to 40,Claim Accepted,20,1
3288,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,28,1
3289,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,10,1
3290,2018 Q3,Somalia,Female,26 to 30,Claim Accepted,32,1
3291,2018 Q3,Bangladesh,Female,41 to 50,Claim Rejected,19,1
3292,2018 Q3,Bangladesh,Male,Under 18,Claim Rejected,25,1
3293,2018 Q3,Philippines,Male,26 to 30,Claim Rejected,14,1
3294,2018 Q3,Zimbabwe,Female,26 to 30,Claim Accepted,2,1
3295,2018 Q3,Jamaica,Male,18 to 25,Claim Rejected,1,1
3296,2018 Q3,Malawi,Female,31 to 40,Claim Accepted,19,1
3297,2018 Q3,Ghana,Female,31 to 40,Claim Rejected,18,1
3298,2018 Q3,Nigeria,Male,41 to 50,Claim Rejected,8,1
3299,2018 Q3,Nigeria,Female,26 to 30,Claim Accepted,10,1
3300,2018 Q3,Nigeria,Female,Under 18,Claim Accepted,1,1
3301,2018 Q3,Somalia,Female,31 to 40,Claim Accepted,89,1
3302,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,6,1
3303,2018 Q3,Jamaica,Male,Under 18,Claim Rejected,62,1
3304,2018 Q3,Bangladesh,Male,41 to 50,Claim Rejected,25,1
3305,2018 Q3,Jamaica,Female,31 to 40,Claim Accepted,25,1
3306,2018 Q3,Russia,Female,41 to 50,Claim Rejected,12,1
3307,2018 Q3,Nigeria,Female,31 to 40,Claim Accepted,4,1
3308,2018 Q3,Nigeria,Female,31 to 40,Claim Rejected,18,1
3309,2018 Q3,Jamaica,Female,41 to 50,Claim Rejected,31,1
3310,2018 Q3,Nigeria,Male,Under 18,Claim Accepted,4,1
3311,2018 Q3,Nigeria,Female,51 to 60,Claim Rejected,1,1
3312,2018 Q3,Nigeria,Female,Under 18,Claim Accepted,18,1
